Quantum Geometric Dynamics - Round 12 Results
==================================================
Simulation Time: 2025-09-15 12:43:33
Grid Shape: (20, 20, 20, 20, 20)
Time Points: 50
Density: 0.000236
Energy Conservation (σ/μ of strain): 1.121944
Minimum Scale Factor: 0.872562
Bounce Detected: True
Chi2/DOF (Model Fit): 0.000004
Chi2 QGD vs GW: 1.87e-42
Fit Parameters: [ 1.0e-21  3.5e+01  7.0e+02  1.0e+00 -1.0e-21  5.0e+00]

Time Evolution Data:
Time	Scale_Factor	Scale_Factor_Derivative	QGD_Strain	GW_Strain
-0.100000	1.000000	-0.800000	-1.262267e-22	6.845535e-22
-0.095918	0.997222	-0.800004	-1.228145e-22	-1.502973e-21
-0.091837	0.994451	-0.800008	-1.191978e-22	-1.282394e-21
-0.087755	0.991688	-0.800012	-1.153825e-22	-1.369230e-21
-0.083673	0.988933	-0.800016	-1.113750e-22	-7.894444e-22
-0.079592	0.986186	-0.800020	-1.071820e-22	-3.330019e-22
-0.075510	0.983446	-0.800024	-1.028105e-22	1.118176e-21
-0.071429	0.980714	-0.800028	-9.826774e-23	1.580883e-21
-0.067347	0.977989	-0.800032	-9.356130e-23	1.510104e-21
-0.063265	0.975272	-0.800036	-8.869902e-23	1.599105e-21
-0.059184	0.972563	-0.800040	-8.368900e-23	1.678756e-21
-0.055102	0.969861	-0.800044	-7.853958e-23	7.047848e-22
-0.051020	0.967166	-0.800048	-7.325935e-23	1.982796e-21
-0.046939	0.964479	-0.800052	-6.785710e-23	1.343769e-22
-0.042857	0.961800	-0.800055	-6.234183e-23	1.319348e-21
-0.038776	0.959127	-0.800059	-5.672272e-23	2.408426e-21
-0.034694	0.956463	-0.800063	-5.100914e-23	1.199593e-21
-0.030612	0.953806	-0.800067	-4.521060e-23	8.743200e-22
-0.026531	0.951156	-0.800071	-3.933676e-23	1.928819e-21
-0.022449	0.948513	-0.800075	-3.339740e-23	1.488900e-21
-0.018367	0.945878	-0.800078	-2.740242e-23	5.000360e-22
-0.014286	0.943250	-0.800082	-2.136181e-23	-1.936946e-22
-0.010204	0.940630	-0.800086	-1.528563e-23	-6.251502e-22
-0.006122	0.938016	-0.800090	-9.183989e-24	-1.430016e-21
-0.002041	0.935410	-0.800094	-3.067064e-24	-2.548674e-22
0.002041	0.932812	-0.800097	3.054960e-24	2.258240e-22
0.006122	0.930220	-0.800101	9.171885e-24	1.772125e-21
0.010204	0.927636	-0.800105	1.527352e-23	8.177579e-22
0.014286	0.925058	-0.800109	2.134971e-23	-2.642534e-22
0.018367	0.922488	-0.800112	2.739032e-23	-1.052123e-21
0.022449	0.919926	-0.800116	3.338530e-23	-4.349298e-22
0.026531	0.917370	-0.800120	3.932465e-23	2.402383e-21
0.030612	0.914821	-0.800124	4.519849e-23	1.614345e-21
0.034694	0.912280	-0.800127	5.099703e-23	-2.005632e-21
0.038776	0.909745	-0.800131	5.671062e-23	-1.110356e-21
0.042857	0.907218	-0.800135	6.232973e-23	1.160557e-21
0.046939	0.904697	-0.800138	6.784500e-23	4.931240e-23
0.051020	0.902184	-0.800142	7.324725e-23	-1.484790e-21
0.055102	0.899677	-0.800145	7.852748e-23	-1.144845e-22
0.059184	0.897178	-0.800149	8.367689e-23	1.741692e-21
0.063265	0.894685	-0.800153	8.868691e-23	-5.608991e-22
0.067347	0.892200	-0.800156	9.354919e-23	3.878754e-24
0.071429	0.889721	-0.800160	9.825563e-23	1.297229e-21
0.075510	0.887249	-0.800164	1.027984e-22	-1.042796e-21
0.079592	0.884784	-0.800167	1.071699e-22	-6.441297e-22
0.083673	0.882326	-0.800171	1.113629e-22	1.697146e-21
0.087755	0.879875	-0.800174	1.153704e-22	-1.304147e-21
0.091837	0.877430	-0.800178	1.191857e-22	1.417487e-21
0.095918	0.874992	-0.800181	1.494560e-21	-1.120825e-21
0.100000	0.872562	0.800185	2.877372e-21	-1.772191e-23
